NestID,Chaos,Sub,Bifurc,Sideb,Sideb3,Biphon,JumpUP,JumpDown,Jumps,modup,moddown,softcomp,loudcomp,Fledged,weeksold,max_age,Julian_Date
NE1_F_17,0.3,0.1,0,0.9,0.7,0.9,0,0.1,0.1,0.3,1,1,1,1,12,12,42911
Pit_F_17,0.2,0.3,0,1,1.0,0.2,0.2,0,0.1,0,0.3,1,0,0,4,10,42910
Pit_F_17,0.2,0.2,0,0.7,0.3,0.6,0.2,0,0.1,0.2,0.8,1,1,0,6,10,42915
Pit_F_17,0.5,0.6,0,0.9,0.7,0.9,0.6,0.2,0.4,0.6,1,1,1,0,6,10,42922
Pit_F_17,0.5,0.4,0.1,1,1.0,0.7,0.6,0.1,0.4,0.8,0.8,1,1,0,7,10,42929
Pit_F_17,0.4,0.8,0,1,1.0,0.9,0.4,0,0.2,0.5,1,1,1,0,8,10,42935
Pit_F_17,0.3,0.2,0.1,0.8,0.5,1,0.1,0.1,0.1,0.8,1,1,1,0,9,10,42941
Pit_F_17,0,0.1,0,0.7,0.3,0.8,0,0,0.0,0.1,0.9,1,1,0,10,10,42945
Quentin_F_18,1,0.3,0.9,0.9,0.7,1,0.9,0.3,0.6,0.7,1,0.9,0,1,5,12,43255
Quentin_F_18,0.9,0.4,0.2,1,1.0,0.9,0.4,0.1,0.3,0.9,0.9,1,0.4,1,6,12,43264
Quentin_F_18,0.8,0.6,0.2,1,1.0,0.8,0.4,0.2,0.3,1,0.9,0.8,0,1,7,12,43270
Quentin_F_18,0.7,0.7,0.5,0.7,0.3,0.3,0.6,0,0.3,1,0.4,1,1,1,8,12,43277
Quentin_F_18,1,0.5,0.7,0.9,0.7,0.9,0.8,0.1,0.5,1,0.9,1,0.2,1,9,12,43282
Quentin_F_18,0.7,0.9,0.6,1,1.0,0.6,0.8,0.3,0.6,1,0.8,0.7,0.1,1,10,12,43291
Quentin_F_18,0.8,0.4,0.4,1,1.0,0.6,0.3,0.2,0.3,0.8,0.8,0.1,0,1,11,12,43299
Quentin_F_18,0.6,0.9,0.3,0.9,0.7,0.6,0.9,0.1,0.5,0.8,0.8,0.9,0.3,1,12,12,43306
Reluctant_F_18,1,0.5,0.8,1,1.0,0.7,0.7,0,0.4,0.7,0.8,0.8,0.7,1,7,12,43228
Reluctant_F_18,0.4,0.3,0.1,0.6,0.2,0.9,0.4,0.2,0.3,0.7,0.7,0.7,0.6,1,8,12,43234
Reluctant_F_18,0.9,0.3,0,1,1.0,0.8,0.6,0,0.3,0.6,0.8,0.5,0.8,1,8,12,43243
Reluctant_F_18,0.1,0.1,0,0.6,0.2,0.8,0.1,0,0.1,0.3,0.7,0.4,0.1,1,9,12,43250
Reluctant_F_18,0.9,0.5,0,1,1.0,0.7,0.8,0,0.4,0.7,0.8,0.9,0.8,1,10,12,43256
Reluctant_F_18,0.4,0.3,0.1,0.4,0.1,0.3,0,0,0.0,0.2,0.3,0.6,0.3,1,11,12,43266
Reluctant_F_18,1,0.5,0.2,1,1.0,0.7,0.4,0.3,0.4,0.8,0.9,1,1,1,12,12,43268
Reluctant_F_18,0.6,0.6,0,1,1.0,0.6,0,0.3,0.2,0.3,0.7,1,1,1,12,12,43269
Ros_F_18,1,0.6,0.7,1,1.0,0.6,0,0.3,0.2,0.9,1,1,1,1,9,12,43261
Ros_F_18,0.6,0.1,0,1,1.0,0.1,0.1,0,0.1,0.5,0.4,0.9,0.4,1,9,12,43263
Ros_F_18,0.6,0.4,0.3,1,1.0,0.6,0.4,0.2,0.3,0.7,1,1,0.3,1,10,12,43270
Ros_F_18,1,0.5,0.5,1,1.0,0.6,0.2,0.1,0.2,0.8,1,1,1,1,11,12,43272
Ros_F_18,1,0.4,0.1,1,1.0,0.7,0.5,0.1,0.3,0.8,0.8,1,1,1,11,12,43274
Ros_F_18,0.9,0.3,0.7,1,1.0,0.3,0.2,0.3,0.3,0.6,0.5,1,0.9,1,12,12,43282
Skyscraper_F_17,1,0.9,0.5,1,1.0,0.4,0.8,0,0.4,0.7,0.4,1,0.8,0,3,12,42915
Skyscraper_F_17,0.6,0.1,0.1,0.8,0.5,0,0.3,0.1,0.2,0.6,0.4,1,0.7,0,4,12,42920
Spike_F_17,1,0.6,0.6,1,1.0,0.4,0.1,0.1,0.1,0.7,0.4,1,0.8,0,2,12,42916
Spike_F_17,0.4,0.5,0.2,0.7,0.3,0.3,0.2,0.1,0.2,0.9,0.9,1,0.4,0,3,12,42920
Spike_F_17,0.2,0.3,0.1,0.7,0.3,0.8,0.4,0.2,0.3,0.7,0.8,1,0.7,0,4,12,42927
Starfish,0.4,0.4,0.1,0.7,0.3,0.5,0.2,0.1,0.1,,,,,1,6,,43214
Starfish,0.7,0.8,0.3,0.8,0.5,0.6,0.3,0.1,0.2,,,,,1,7,,43221
Starfish,0.0,0.2,0.0,0.1,0.0,0.7,0.0,0.0,0.0,,,,,1,8,,43226
Starfish,0.8,0.2,0.6,1.0,1.0,1.0,0.1,0.0,0.1,,,,,1,9,,43234
